Date,Real Estate,Equity,Gold future,FI
2016-08,1000,1356.042377,1316.5,2038.18
2016-09,984.805708,1366.534655,1326,2036.98
2016-10,933.46907,1340.394387,1273.1,2021.4
2016-11,914.620173,1355.606546,1190.8,1973.59
2016-12,954.688162,1385.36818,1158.1,1976.37
2017-01,955.571017,1423.17651,1196,1980.25
2017-02,995.436557,1462.997089,1258.8,1993.56
2017-03,980.305352,1481.288841,1248,1992.51
2017-04,985.088977,1505.741755,1265.9,2007.89
2017-05,983.843495,1537.057963,1265.7,2023.34
2017-06,1003.746482,1546.78444,1245.8,2021.31
2017-07,1016.989435,1589.750401,1273.4,2030.01
2017-08,1022.364569,1596.108284,1314.1,2048.21
2017-09,1015.134835,1630.929993,1288.7,2038.46
2017-10,1017.215478,1664.266938,1277.7,2039.64
2017-11,1044.389848,1697.658365,1286.2,2037.02
2017-12,1041.102913,1725.932673,1297.2,2046.37
2018-01,1012.88761,1819.344002,1340,2022.8
2018-02,942.346705,1744.049462,1315.5,2003.63
2018-03,977.484349,1712.500051,1327.3,2016.48
2018-04,980.486165,1729.417506,1319.2,2001.48
2018-05,1014.481867,1737.647006,1306.5,2015.76
2018-06,1056.273934,1727.926303,1251,2013.28
2018-07,1063.658055,1776.340325,1231.5,2013.76
2018-08,1090.248611,1793.42431,1205,2026.72
2018-09,1061.652094,1797.013245,1182.3,2013.67
2018-10,1030.417365,1656.821694,1225.3,1997.76
2018-11,1079.203935,1680.976864,1230.4,2009.68
2018-12,993.287084,1560.053416,1281.3,2046.6
2019-01,1110.061006,1687.454563,1315.5,2068.34
2019-02,1118.081056,1735.126991,1317.7,2067.14
2019-03,1164.882082,1754.119129,1295.3,2106.83
2019-04,1163.942581,1813.024112,1281.5,2107.37
2019-05,1165.290322,1705.91872,1287.1,2144.78
2019-06,1185.341472,1816.436145,1412,2171.71
2019-07,1204.332496,1822.526114,1441.8,2176.49
2019-08,1249.721562,1777.372001,1536.9,2232.89
2019-09,1273.381958,1815.476205,1472.9,2221
2019-10,1287.176166,1865.915536,1493.2,2227.69
2019-11,1271.124434,1913.165622,1472.7,2226.55
2019-12,1281.602529,1981.828648,1518.6,2225
2020-01,1296.76731,1956.079943,1589.2,2267.82
2020-02,1205.110756,1796.715576,1642.5,2308.64
2020-03,973.059878,1539.224031,1643.2,2295.05
2020-04,1059.260672,1709.502392,1703.4,2335.85
2020-05,1077.873661,1789.116631,1728.3,2346.72
2020-06,1104.461071,1847.09706,1781.2,2361.51
2020-07,1144.041807,1943.776863,1966.8,2396.78
2020-08,1149.567756,2062.168236,1978.6,2377.43
2020-09,1119.343158,1999.027531,1903.2,2376.13
2020-10,1084.938242,1956.216145,1868,2365.52
2020-11,1190.072872,2204.613107,1780.9,2388.73
2020-12,1223.263432,2315.030217,1893.4,2392.02
2021-01,1223.57714,2311.47265,1841.2,2374.87
2021-02,1264.897326,2373.627146,1775.4,2340.58
2021-03,1330.013442,2436.4085,1686,2311.35
2021-04,1436.128938,2543.133802,1768.3,2329.61
2021-05,1447.432903,2582.395056,1905.3,2337.22
2021-06,1485.50016,2614.430916,1763.6,2353.64
2021-07,1551.938746,2628.354585,1835.8,2379.96
2021-08,1585.471318,2694.235478,1812.2,2375.43
2021-09,1495.934952,2587.973989,1722.9,2354.86
2021-10,1601.690577,2714.524014,1802.6,2354.21
2021-11,1567.007546,2642.472975,1785.2,2361.18
2021-12,1719.401141,2748.266994,1814.1,2355.14
2022-01,1578.977523,2606.15055,1796.4,2304.4
2022-02,1520.783352,2547.279373,1900.7,2278.69
2022-03,1617.067278,2600.758609,1939,2215.38
2022-04,1549.524905,2395.224749,1891.3,2131.31
2022-05,1478.143152,2398.255114,1848.4,2145.05
2022-06,1367.504503,2192.381148,1817.5,2111.4
2022-07,1486.148731,2349.777329,1769.2,2162.99
2022-08,1396.596166,2267.263828,1736.3,2101.88
2022-09,1217.388433,2049.383435,1668.6,2011.06
2022-10,1260.05617,2175.980513,1648.3,1985.01
2022-11,1338.266168,2342.569892,1763.7,2058.01
2022-12,1270.320623,2253.545483,1826,2048.73
2023-01,1402.850767,2420.084533,1939.2,2111.76
2023-02,1320.733832,2353.661544,1824.9,2057.16
2023-03,1293.580145,2413.189052,1980.3,2109.41
2023-04,1297.314429,2445.046213,1999,2122.2
2023-05,1245.752043,2417.27619,1958,2099.09
2023-06,1315.327595,2559.355543,1917.9,2091.6
2023-07,1342.6649,2657.986157,1970.5,2090.15
2023-08,1298.694029,2582.717382,1973,2076.8
2023-09,1203.47538,2474.944252,1878.6,2024.02
2023-10,1160.621424,2393.03758,2005.6,1992.08
2023-11,1300.013244,2615.355825,2067.1,2082.29
2023-12,1422.230188,2753.489562,2083.5,2162
2024-01,1352.020604,2760.285276,2050.9,2156.06
2024-02,1379.006891,2876.617573,2042.7,2125.6
2024-03,1405.900244,2969.190277,2238.4,2145.23
2024-04,1293.494533,2869.658728,2357.7,2091.04
2024-05,1352.748237,2987.735697,2345.8,2126.49
2024-06,1379.455031,3044.186119,2339.6,2146.63
2024-07,1486.713763,3107.654519,2473,2196.77
2024-08,1565.473854,3181.292958,2527.6,2228.33
2024-09,1617.20194,3255.7756,2659.4,2258.17
